project_id,mode,route_id,direction_id,stop_id_from,stop_id_to,stop_name_from,stop_name_to,from_to,time_minutes,headway_min,frequency
3,trenes,35,1,335,130,RIO LUJAN,ESCOBAR,335_130,13,80,0.8
3,trenes,35,1,130,263,ESCOBAR,ING. MASCHWITZ,130_263,7,80,0.8
3,trenes,35,1,263,37,ING. MASCHWITZ,BENAVIDEZ,263_37,7,80,0.8
3,trenes,35,1,37,296,BENAVIDEZ,GRAL. PACHECO,37_296,7,80,0.8
3,trenes,35,1,296,29,GRAL. PACHECO,Bancalari,296_29,4,80,0.8
3,trenes,35,1,29,412,Bancalari,V. Ballester,29_412,14,80,0.8
4,trenes,21,0,93,48,PLAZA CONSTITUCION,BUENOS AIRES,93_48,4,20,3
4,trenes,21,0,48,121,BUENOS AIRES,DR. A. SÁENZ,48_121,5,20,3
4,trenes,21,0,121,427,DR. A. SÁENZ,VILLA SOLDATI,121_427,6,20,3
4,trenes,21,0,427,313,VILLA SOLDATI,PTE. ILLIA,427_313,3,20,3
4,trenes,21,0,313,422,PTE. ILLIA,LUGANO,313_422,3,20,3
4,trenes,21,0,422,424,LUGANO,VILLA MADERO,422_424,4,20,3
4,trenes,21,0,424,260,VILLA MADERO,MNOS. DEL FOURNIER,424_260,4,20,3
4,trenes,21,0,260,385,MNOS. DEL FOURNIER,TAPIALES,260_385,4,20,3
4,trenes,21,0,385,12,TAPIALES,ALDO BONZI,385_12,5,20,3
4,trenes,21,0,12,354,ALDO BONZI,M. S. MENDEVILLE,12_354,4,20,3
4,trenes,21,0,354,195,M. S. MENDEVILLE,JOSÉ INGENIEROS,354_195,3,20,3
4,trenes,21,0,195,203,JOSÉ INGENIEROS,JUSTO VILLEGAS,195_203,4,20,3
4,trenes,21,0,203,184,JUSTO VILLEGAS,ISIDRO CASANOVA,203_184,6,20,3
4,trenes,21,0,184,325,ISIDRO CASANOVA,RAFAEL CASTILLO,184_325,6,20,3
4,trenes,21,0,325,270,RAFAEL CASTILLO,MERLO GÓMEZ,325_270,4,20,3
4,trenes,21,0,270,232,MERLO GÓMEZ,LIBERTAD,270_232,6,20,3
4,trenes,21,0,232,259,LIBERTAD,M. C. G. BELGRANO,232_259,7,20,3
4,trenes,21,1,259,232,M. C. G. BELGRANO,LIBERTAD,259_232,7,20,3
4,trenes,21,1,232,270,LIBERTAD,MERLO GÓMEZ,232_270,6,20,3
4,trenes,21,1,270,325,MERLO GÓMEZ,RAFAEL CASTILLO,270_325,4,20,3
4,trenes,21,1,325,184,RAFAEL CASTILLO,ISIDRO CASANOVA,325_184,6,20,3
4,trenes,21,1,184,203,ISIDRO CASANOVA,JUSTO VILLEGAS,184_203,6,20,3
4,trenes,21,1,203,195,JUSTO VILLEGAS,JOSÉ INGENIEROS,203_195,4,20,3
4,trenes,21,1,195,354,JOSÉ INGENIEROS,M. S. MENDEVILLE,195_354,3,20,3
4,trenes,21,1,354,12,M. S. MENDEVILLE,ALDO BONZI,354_12,4,20,3
4,trenes,21,1,12,385,ALDO BONZI,TAPIALES,12_385,5,20,3
4,trenes,21,1,385,260,TAPIALES,MNOS. DEL FOURNIER,385_260,4,20,3
4,trenes,21,1,260,424,MNOS. DEL FOURNIER,VILLA MADERO,260_424,4,20,3
4,trenes,21,1,424,422,VILLA MADERO,LUGANO,424_422,4,20,3
4,trenes,21,1,422,313,LUGANO,PTE. ILLIA,422_313,3,20,3
4,trenes,21,1,313,427,PTE. ILLIA,VILLA SOLDATI,313_427,3,20,3
4,trenes,21,1,427,121,VILLA SOLDATI,DR. A. SÁENZ,427_121,6,20,3
4,trenes,21,1,121,48,DR. A. SÁENZ,BUENOS AIRES,121_48,5,20,3
4,trenes,21,1,48,93,BUENOS AIRES,PLAZA CONSTITUCION,48_93,4,20,3
4,trenes,25,0,93,48,PLAZA CONSTITUCION,BUENOS AIRES,93_48,4,20,3
4,trenes,25,0,48,525,BUENOS AIRES,DR. A. SÁENZ,48_525,5,20,3
4,trenes,25,0,525,427,DR. A. SÁENZ,VILLA SOLDATI,525_427,6,20,3
4,trenes,25,0,427,313,VILLA SOLDATI,PTE. ILLIA,427_313,3,20,3
4,trenes,25,0,313,422,PTE. ILLIA,LUGANO,313_422,3,20,3
4,trenes,25,0,422,424,LUGANO,VILLA MADERO,422_424,4,20,3
4,trenes,25,0,424,260,VILLA MADERO,MNOS. DEL FOURNIER,424_260,4,20,3
4,trenes,25,0,260,385,MNOS. DEL FOURNIER,TAPIALES,260_385,4,20,3
4,trenes,25,0,385,181,TAPIALES,ING. CASTELLO,385_181,3,20,3
4,trenes,25,0,181,321,ING. CASTELLO,QUERANDÍ,181_321,5,20,3
