route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
5,2,30855121,Tigre,3085,0,5
5,3,30855131,Tigre,3085,0,5
5,1,30865211,Retiro (LM),3086,1,6
5,2,30865221,Retiro (LM),3086,1,6
5,3,30865231,Retiro (LM),3086,1,6
5,1,30875111,Tigre,3087,0,5
5,2,30875121,Tigre,3087,0,5
5,3,30875131,Tigre,3087,0,5
5,1,30885211,Retiro (LM),3088,1,6
5,2,30885221,Retiro (LM),3088,1,6
5,3,30885231,Retiro (LM),3088,1,6
5,1,30895111,Tigre,3089,0,5
5,2,30895121,Tigre,3089,0,5
5,3,30895131,Tigre,3089,0,5
5,1,30905211,Retiro (LM),3090,1,6
5,2,30905221,Retiro (LM),3090,1,6
5,3,30905231,Retiro (LM),3090,1,6
5,1,30915111,Tigre,3091,0,5
5,2,30915121,Tigre,3091,0,5
5,3,30915131,Tigre,3091,0,5
5,1,30925211,Retiro (LM),3092,1,6
5,2,30925221,Retiro (LM),3092,1,6
5,3,30925231,Retiro (LM),3092,1,6
5,1,30935111,Tigre,3093,0,5
5,2,30935121,Tigre,3093,0,5
5,3,30935131,Tigre,3093,0,5
5,1,30945211,Retiro (LM),3094,1,6
5,2,30945221,Retiro (LM),3094,1,6
5,3,30945231,Retiro (LM),3094,1,6
5,1,30955111,Tigre,3095,0,5
5,2,30955121,Tigre,3095,0,5
5,3,30955131,Tigre,3095,0,5
5,1,30965211,Retiro (LM),3096,1,6
5,2,30965221,Retiro (LM),3096,1,6
5,3,30965231,Retiro (LM),3096,1,6
5,1,30975111,Tigre,3097,0,5
5,2,30975121,Tigre,3097,0,5
5,3,30975131,Tigre,3097,0,5
5,1,30985211,Retiro (LM),3098,1,6
5,2,30985221,Retiro (LM),3098,1,6
5,3,30985231,Retiro (LM),3098,1,6
5,1,30995111,Tigre,3099,0,5
5,2,30995121,Tigre,3099,0,5
5,3,30995131,Tigre,3099,0,5
5,1,31005211,Retiro (LM),3100,1,6
5,2,31005221,Retiro (LM),3100,1,6
5,3,31005231,Retiro (LM),3100,1,6
5,1,31015111,Tigre,3101,0,5
5,2,31015121,Tigre,3101,0,5
5,3,31015131,Tigre,3101,0,5
5,1,31025211,Retiro (LM),3102,1,6
5,2,31025221,Retiro (LM),3102,1,6
5,3,31025231,Retiro (LM),3102,1,6
5,1,31035111,Tigre,3103,0,5
5,2,31035121,Tigre,3103,0,5
5,3,31035131,Tigre,3103,0,5
5,1,31045211,Retiro (LM),3104,1,6
5,2,31045221,Retiro (LM),3104,1,6
5,3,31045231,Retiro (LM),3104,1,6
