stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
20826,,"752 ROCA JULIO A. PRESIDENTE DIAGONAL SUR AV.",,-34.612196,-58.376889,,,,,America/Argentina/Buenos_Aires,
6441124441,,"CALLE 5 BIS_CALLE 516",,-34.885712,-57.985597,,,,,America/Argentina/Buenos_Aires,
6441120550,,"AVENIDA 19_CALLE 64",,-34.935672,-57.949298,,,,,America/Argentina/Buenos_Aires,
6441123289,,"CALLE 419_CALLE 25",,-34.863399,-58.090656,,,,,America/Argentina/Buenos_Aires,
6427110259,,"BRIGADIER GENERAL JUAN MANUEL DE ROSAS Y RUTA NACIONAL 3",,-34.831071,-58.647526,,,,,America/Argentina/Buenos_Aires,
203505,,"5049 DIRECTORIO AV.",,-34.651146,-58.491394,,,,,America/Argentina/Buenos_Aires,
6427112194,,"EL TALA 3801-3899",,-34.717093,-58.488336,,,,,America/Argentina/Buenos_Aires,
6427102661,,"ALMIRANTE COCHRANE 1776",,-34.711485,-58.524346,,,,,America/Argentina/Buenos_Aires,
6412105367,,"AVENIDA PRESIDENTE HIPÓLITO YRIGOYEN 2205",,-34.521241,-58.757308,,,,,America/Argentina/Buenos_Aires,
6410107401,,"MARTÍN FIERRO 3351",,-34.624916,-58.695524,,,,,America/Argentina/Buenos_Aires,
204581,,"1208 DEL LIBERTADOR AV.",,-34.585238,-58.388907,,,,,America/Argentina/Buenos_Aires,
6805123819,,"DEÁN FUNES 600-698",,-34.40805,-58.686167,,,,,America/Argentina/Buenos_Aires,
6427129526,,"HUGO WAST 49-99",,-34.834398,-58.647336,,,,,America/Argentina/Buenos_Aires,
6756109532,,"GENERAL GUIDO 635-693",,-34.461528,-58.537923,,,,,America/Argentina/Buenos_Aires,
6532113001,,"KM 97 - TOYOTA",,-34.665791,-59.404458,,,,,America/Argentina/Buenos_Aires,
